X,Y,OBJECTID,SITENUMBER,TERRITORY,NEST,NESTYEAR,last_edited_date
-87.2695553714032,30.3170232278041,204,Esca07,16,A,2006,
-85.1418999337778,29.6340857243066,205,Frank02,2,A,2006,
-85.2178327604532,29.6767695928404,206,Frank02,4,A,2006,
-85.2190497611692,29.6771355976606,207,Frank02,5,A,2006,
-85.2197497544898,29.6774025933504,208,Frank02,5,B,2006,
-85.2215667543571,29.677552593775,209,Frank02,6,A,2006,
-85.2216327445978,29.6778855893908,210,Frank02,6,B,2006,
-85.2216167563824,29.6778195930404,211,Frank02,6,C,2006,
-85.2224327500539,29.6779695967451,212,Frank02,7,A,2006,
-85.2227167479394,29.6780695834811,213,Frank02,7,B,2006,
-85.2225327388332,29.6785855941593,214,Frank02,8,A,2006,
-85.2170327505056,29.6765195890209,215,Frank02,9,A,2006,
-85.2158167523095,29.6760855981224,216,Frank02,10,A,2006,
-85.1403669389825,29.6333197302798,217,Frank02,12,A,2006,
-85.0705171009659,29.6062358449448,218,Frank03,1,A,2006,
-85.0691001029283,29.6052358460776,219,Frank03,1,B,2006,
-85.0801170766071,29.6127028246608,220,Frank03,2,A,2006,
-85.0801170766071,29.6127028246608,221,Frank03,2,B,2006,
-85.0824330681568,29.6140858276393,222,Frank03,3,A,2006,
-85.083150067484,29.6147198159471,223,Frank03,3,B,2006,
-85.0451671467046,29.5879029136925,224,Frank03,5,A,2006,
-85.0885670613608,29.6174527979397,225,Frank03,7,A,2006,
-85.0944670407384,29.6206358014233,226,Frank03,8,A,2006,
-85.0977830494389,29.6238857903505,227,Frank03,9,A,2006,
-85.093117057021,29.6199697886401,228,Frank03,9,B,2006,
-85.0691170882737,29.6052358468586,229,Frank03,10,A,2006,
-85.0755500785335,29.6102198314604,230,Frank03,10,B,2006,
-85.0615001005032,29.5996698660795,231,Frank03,12,A,2006,
-85.0732670883924,29.6083028452336,232,Frank03,13,A,2006,
-85.0734330988535,29.6085858492084,233,Frank03,13,B,2006,
-85.0875170583545,29.6168358015564,234,Frank03,17,A,2006,
-85.0880500512704,29.6173698146485,235,Frank03,17,B,2006,
-84.9612174049891,29.6138199080629,236,Frank03,19,A,2006,
-85.021550215103,29.5944699186373,237,Frank03,20,A,2006,
-85.078700085756,29.6121828258524,238,Frank03,21,A,2006,
-84.7596011593518,29.7055860266271,239,Frank04,2,A,2006,
-84.7643341364454,29.7020200251602,240,Frank04,2,B,2006,
