X,Y,OBJECTID,NestID,County,NestTownsh,NestRange,NestSectio,GazPage,LastKnownA,LastSurvey,LatDec,LonDec,Act98,Act99,Act00,Act01,Act02,Act03,Act04,Act05,Act06,Act07,Act08,Act09,Act10,Active11,Active12,Active13,Active14,Active15,last_edited_date,Active16,Active17
-82.0798330003869,29.5896670006471,2644,AL105,Alachua,10S,22E,26,66,2014,2014,29.589667,-82.079833,-,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1026669999128,29.5164999999415,2645,AL106,Alachua,11S,22E,22,66,2012,2014,29.5165,-82.102667,-,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,N,*,2017/09/19 23:51:32+00,*,
-82.155330000419,29.4454999997492,2646,AL107,Alachua,12S,22E,18,72,2014,2014,29.4455,-82.15533,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1669300004801,29.4919299999666,2647,AL108,Alachua,11S,21E,36,72,2014,2014,29.49193,-82.16693,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Y,*,2017/09/19 23:51:32+00,*,
-85.6111670003781,30.2706669995728,2648,BA001,Bay,02S,14W,35,47,2012,2016,30.270667,-85.611167,Y,Y,Y,Y,N,N,Y,Y,N,Y,U,U,*,-,Y,*,*,*,2017/09/19 23:51:32+00,N,
-85.434000000606,30.0283329998854,2649,BA002,Bay,05S,12W,22,47,2016,2016,30.028333,-85.434,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.5759999997738,30.3501670000863,2650,BA003,Bay,02S,13W,06,47,2009,2016,30.350167,-85.576,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,*,*,-,*,*,*,2017/09/19 23:51:32+00,-,
-85.6433330000111,30.1064999997364,2651,BA005,Bay,04S,14W,28,46,2016,2016,30.1065,-85.643333,-,-,Y,Y,Y,Y,N,Y,N,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.7538329997178,30.3084999993623,2652,BA007,Bay,02S,15W,21,46,2016,2016,30.3085,-85.753833,-,-,-,Y,Y,Y,Y,Y,N,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.788167000644,30.2161670006859,2653,BA008,Bay,03S,15W,19,46,2016,2016,30.216167,-85.788167,-,-,-,Y,Y,Y,N,Y,Y,Y,U,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.4991670000983,30.0344999998931,2654,BA009,Bay,05S,13W,24,47,2016,2016,30.0345,-85.499167,-,-,-,-,Y,Y,Y,Y,N,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.5760000006721,30.0523329995938,2655,BA010,Bay,05S,13W,18,47,2016,2016,30.052333,-85.576,-,-,-,-,-,Y,Y,Y,Y,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.6236670000645,30.124332999821,2656,BA011,Bay,04S,14W,22,47,2016,2016,30.124333,-85.623667,-,-,-,-,-,-,N,Y,Y,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.5811669996936,30.3363329995874,2657,BA012,Bay,02S,13W,06,47,2016,2016,30.336333,-85.581167,-,-,-,-,-,-,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.583166999859,30.3065000004101,2658,BA013,Bay,02S,13W,19,47,2009,2016,30.3065,-85.583167,-,-,-,-,-,-,-,Y,Y,Y,N,Y,*,*,N,*,*,*,2017/09/19 23:51:32+00,N,
-85.6875000004615,30.295499999686,2659,BA014,Bay,02S,14W,19,46,2016,2016,30.2955,-85.6875,-,-,-,-,-,-,-,Y,Y,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.4303329994628,30.0714999995116,2660,BA015,Bay,05S,12W,03,47,2016,2016,30.0715,-85.430333,-,-,-,-,-,-,-,Y,Y,Y,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,Y,
-85.6823329996434,30.2926669996475,2661,BA016,Bay,02S,14W,30,46,2006,2016,30.292667,-85.682333,-,-,-,-,-,-,-,-,Y,-,-,-,*,-,-,*,*,*,2017/09/19 23:51:32+00,-,
-85.9848329999581,30.2928329999306,2662,BA017,Bay,02S,17W,30,46,2012,2016,30.292833,-85.984833,-,-,-,-,-,-,-,-,-,-,Y,Y,*,Y,Y,*,*,*,2017/09/19 23:51:32+00,-,
